Table with row headers in column A and column headers in rows 4 through 6,,,,,,,,,,,,
"Table A-3.
Poverty Status of People by Age, Race, and Hispanic Origin: 1959 to 2022",,,,,,,,,,,,
"(Population in thousands. Population as of March of the following year. Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar23.pdf>)",,,,,,,,,,,,
"Race, Hispanic origin, and year",All people,,,Under 18 years,,,18 to 64 years,,,65 years and over,,
,Total,Below poverty,,Total,Below poverty,,Total,Below poverty,,Total,Below poverty,
,,Number,Percent,,Number,Percent,,Number,Percent,,Number,Percent
ALL RACES,,,,,,,,,,,,
2022,"330,100","37,920",11.5,"71,950","10,780",15.0,"200,200","21,240",10.6,"57,880","5,897",10.2
2021,"328,200","37,930",11.6,"72,940","11,150",15.3,"199,100","20,980",10.5,"56,190","5,802",10.3
20201,"327,600","37,550",11.5,"73,540","11,790",16.0,"199,800","20,910",10.5,"54,280","4,852",8.9
2019,"324,800","33,980",10.5,"72,640","10,470",14.4,"197,500","18,660",9.4,"54,640","4,858",8.9
2018,"323,800","38,150",11.8,"73,280","11,870",16.2,"197,800","21,130",10.7,"52,790","5,146",9.7
20172,"322,500","39,560",12.3,"73,470","12,760",17.4,"198,000","21,910",11.1,"51,070","4,893",9.6
2017,"322,500","39,700",12.3,"73,360","12,810",17.5,"198,100","22,210",11.2,"51,080","4,681",9.2
2016,"319,900","40,620",12.7,"73,590","13,250",18.0,"197,100","22,800",11.6,"49,270","4,568",9.3
2015,"318,500","43,120",13.5,"73,650","14,510",19.7,"197,300","24,410",12.4,"47,550","4,201",8.8
2014,"315,800","46,660",14.8,"73,560","15,540",21.1,"196,300","26,530",13.5,"45,990","4,590",10.0
20133,"313,100","46,270",14.8,"73,440","15,800",21.5,"194,700","25,900",13.3,"44,960","4,569",10.2
20134,"313,000","45,320",14.5,"73,630","14,660",19.9,"194,800","26,430",13.6,"44,510","4,231",9.5
2012,"310,600","46,500",15.0,"73,720","16,070",21.8,"193,600","26,500",13.7,"43,290","3,926",9.1
2011,"308,500","46,250",15.0,"73,740","16,130",21.9,"193,200","26,490",13.7,"41,510","3,620",8.7
20105,"306,100","46,340",15.1,"73,870","16,290",22.0,"192,500","26,500",13.8,"39,780","3,558",8.9
2009,"303,800","43,570",14.3,"74,580","15,450",20.7,"190,600","24,680",12.9,"38,610","3,433",8.9
2008,"301,000","39,830",13.2,"74,070","14,070",19.0,"189,200","22,110",11.7,"37,790","3,656",9.7
2007,"298,700","37,280",12.5,"74,000","13,320",18.0,"187,900","20,400",10.9,"36,790","3,556",9.7
2006,"296,500","36,460",12.3,"73,730","12,830",17.4,"186,700","20,240",10.8,"36,040","3,394",9.4
2005,"293,100","36,950",12.6,"73,290","12,900",17.6,"184,300","20,450",11.1,"35,510","3,603",10.1
20046,"290,600","37,040",12.7,"73,240","13,040",17.8,"182,200","20,550",11.3,"35,210","3,453",9.8
2003,"287,700","35,860",12.5,"73,000","12,870",17.6,"180,000","19,440",10.8,"34,660","3,552",10.2
2002,"285,300","34,570",12.1,"72,700","12,130",16.7,"178,400","18,860",10.6,"34,230","3,576",10.4
2001,"281,500","32,910",11.7,"72,020","11,730",16.3,"175,700","17,760",10.1,"33,770","3,414",10.1
20007,"278,900","31,580",11.3,"71,740","11,590",16.2,"173,600","16,670",9.6,"33,570","3,323",9.9
19998,"276,200","32,790",11.9,"71,690","12,280",17.1,"171,100","17,290",10.1,"33,380","3,222",9.7
1998,"271,100","34,480",12.7,"71,340","13,470",18.9,"167,300","17,620",10.5,"32,390","3,386",10.5
1997,"268,500","35,570",13.3,"71,070","14,110",19.9,"165,300","18,090",10.9,"32,080","3,376",10.5
1996,"266,200","36,530",13.7,"70,650","14,460",20.5,"163,700","18,640",11.4,"31,880","3,428",10.8
19959,"263,700","36,430",13.8,"70,570","14,670",20.8,"161,500","18,440",11.4,"31,660","3,318",10.5
199410,"261,600","38,060",14.5,"70,020","15,290",21.8,"160,300","19,110",11.9,"31,270","3,663",11.7
199311,"259,300","39,270",15.1,"69,290","15,730",22.7,"159,200","19,780",12.4,"30,780","3,755",12.2
199212,"256,500","38,010",14.8,"68,440","15,290",22.3,"157,700","18,790",11.9,"30,430","3,928",12.9
199113,"251,200","35,710",14.2,"65,920","14,340",21.8,"154,700","17,590",11.4,"30,590","3,781",12.4
1990,"248,600","33,590",13.5,"65,050","13,430",20.6,"153,500","16,500",10.7,"30,090","3,658",12.2
1989,"246,000","31,530",12.8,"64,140","12,590",19.6,"152,300","15,580",10.2,"29,570","3,363",11.4
198814,"243,500","31,750",13.0,"63,750","12,460",19.5,"150,800","15,810",10.5,"29,020","3,481",12.0
198714,"241,000","32,220",13.4,"63,290","12,840",20.3,"149,200","15,820",10.6,"28,490","3,563",12.5
1986,"238,600","32,370",13.6,"62,950","12,880",20.5,"147,600","16,020",10.8,"27,980","3,477",12.4
198515,"236,600","33,060",14.0,"62,880","13,010",20.7,"146,400","16,600",11.3,"27,320","3,456",12.6
198416,"233,800","33,700",14.4,"62,450","13,420",21.5,"144,600","16,950",11.7,"26,820","3,330",12.4
1983,"231,700","35,300",15.2,"62,330","13,910",22.3,"143,100","17,770",12.4,"26,310","3,625",13.8
1982,"229,400","34,400",15.0,"62,350","13,650",21.9,"141,300","17,000",12.0,"25,740","3,751",14.6
198117,"227,200","31,820",14.0,"62,450","12,510",20.0,"139,500","15,460",11.1,"25,230","3,853",15.3
1980,"225,000","29,270",13.0,"62,910","11,540",18.3,"137,400","13,860",10.1,"24,690","3,871",15.7
197918,"222,900","26,070",11.7,"63,380","10,380",16.4,"135,300","12,010",8.9,"24,190","3,682",15.2
1978,"215,700","24,500",11.4,"62,310","9,931",15.9,"130,200","11,330",8.7,"23,180","3,233",14.0
1977,"213,900","24,720",11.6,"63,140","10,290",16.2,"128,300","11,320",8.8,"22,470","3,177",14.1
1976,"212,300","24,980",11.8,"64,030","10,270",16.0,"126,200","11,390",9.0,"22,100","3,313",15.0
1975,"210,900","25,880",12.3,"65,080","11,100",17.1,"124,100","11,460",9.2,"21,660","3,317",15.3
197419,"209,400","23,370",11.2,"66,130","10,160",15.4,"122,100","10,130",8.3,"21,130","3,085",14.6
1973,"207,600","22,970",11.1,"66,960","9,642",14.4,"120,100","9,977",8.3,"20,600","3,354",16.3
197220,"206,000","24,460",11.9,"67,930","10,280",15.1,"118,000","10,440",8.8,"20,120","3,738",18.6
197121,"204,600","25,560",12.5,"68,820","10,550",15.3,"115,900","10,740",9.3,"19,830","4,273",21.6
1970,"202,200","25,420",12.6,"69,160","10,440",15.1,"113,600","10,190",9.0,"19,470","4,793",24.6
1969,"199,500","24,150",12.1,"69,090","9,691",14.0,"111,500","9,669",8.7,"18,900","4,787",25.3
1968,"197,600","25,390",12.8,"70,390","10,950",15.6,"108,700","9,803",9.0,"18,560","4,632",25.0
196722,"195,700","27,770",14.2,"70,410","11,660",16.6,"107,000","10,730",10.0,"18,240","5,388",29.5
1966,"193,400","28,510",14.7,"70,220","12,390",17.6,"105,200","11,010",10.5,"17,930","5,114",28.5
1965,"191,400","33,190",17.3,"69,990","14,680",21.0,N,N,N,N,N,N
1964,"189,700","36,060",19.0,"69,710","16,050",23.0,N,N,N,N,N,N
1963,"187,300","36,440",19.5,"69,180","16,010",23.1,N,N,N,N,N,N
1962,"184,300","38,630",21.0,"67,720","16,960",25.0,N,N,N,N,N,N
1961,"181,300","39,630",21.9,"66,120","16,910",25.6,N,N,N,N,N,N
1960,"179,500","39,850",22.2,"65,600","17,630",26.9,N,N,N,N,N,N
1959,"176,600","39,490",22.4,"64,320","17,550",27.3,"96,690","16,460",17.0,"15,560","5,481",35.2
WHITE ALONE23,,,,,,,,,,,,
2022,"248,800","26,050",10.5,"50,650","6,849",13.5,"150,400","14,880",9.9,"47,780","4,320",9.0
2021,"248,900","24,920",10.0,"51,690","6,631",12.8,"150,700","14,050",9.3,"46,550","4,236",9.1
20201,"249,100","25,180",10.1,"52,330","7,313",14.0,"151,400","14,360",9.5,"45,330","3,513",7.8
2019,"248,100","22,510",9.1,"52,490","6,443",12.3,"149,800","12,540",8.4,"45,760","3,534",7.7
2018,"247,600","24,950",10.1,"52,760","7,049",13.4,"150,600","14,130",9.4,"44,310","3,762",8.5
20172,"247,300","26,030",10.5,"53,100","7,796",14.7,"151,200","14,650",9.7,"43,000","3,577",8.3
2017,"247,300","26,440",10.7,"53,020","8,041",15.2,"151,300","15,030",9.9,"42,990","3,368",7.8
2016,"246,000","27,110",11.0,"53,320","8,324",15.6,"151,000","15,470",10.2,"41,620","3,322",8.0
2015,"245,500","28,570",11.6,"53,550","9,204",17.2,"151,700","16,330",10.8,"40,250","3,037",7.5
2014,"244,300","31,090",12.7,"53,640","9,602",17.9,"151,600","18,090",11.9,"39,050","3,400",8.7
20133,"243,300","31,290",12.9,"53,640","10,300",19.2,"151,200","17,630",11.7,"38,480","3,362",8.7
20134,"243,100","29,940",12.3,"53,850","8,808",16.4,"151,300","17,930",11.8,"37,910","3,197",8.4
2012,"242,100","30,820",12.7,"54,070","9,979",18.5,"151,000","17,950",11.9,"37,040","2,891",7.8
